"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","cis","cis_trans","trans","total_cis","total_cis_trans","total_trans","cis_in_gc","cis_trans_in_gc","trans_in_gc"
"Anaplastic Oligodendroglioma","2/59",0.462000791218233,0.657488290703998,0,0,1.30018749162984,1.00399005681405,"CDKN2B;PTEN","","",2,0,0,0,0,0
"Body fluid retention","2/59",0.462000791218233,0.657488290703998,0,0,1.30018749162984,1.00399005681405,"LYZ","MRPS16","",1,1,0,0,0,0
"Chronic lung disease","2/59",0.462000791218233,0.657488290703998,0,0,1.30018749162984,1.00399005681405,"TGFB1;SERPINH1","","",2,0,0,2,0,0
"Forgetful","2/59",0.462000791218233,0.657488290703998,0,0,1.30018749162984,1.00399005681405,"CSF1R","EIF2B2","",1,1,0,0,0,0
"Radial club hand","2/59",0.462000791218233,0.657488290703998,0,0,1.30018749162984,1.00399005681405,"RAD51C;PTEN","","",2,0,0,0,0,0
"Liver Dysfunction","6/207",0.462870486716807,0.658536038483485,0,0,1.10637198622273,0.852247181275926,"TMEM199;SLC22A5","MRPS16;FASTKD2;COX10;POLG","",2,4,0,0,0,0
"Respiratory function loss","5/170",0.463940536625609,0.659799898159876,0,0,1.12307334380271,0.86251908007285,"RFT1","POMT2;CEP120","SOX9;EXOSC3",1,2,2,0,0,0
"Sparse hair","3/96",0.464624722083851,0.659799898159876,0,0,1.19539875408623,0.916303327052162,"PPP1CB;MAP2K1","","CTC1",2,0,1,0,0,0
"Steroid Sulfatase Deficiency Disease","3/96",0.464624722083851,0.659799898159876,0,0,1.19539875408623,0.916303327052162,"ABCC1;PTEN","KDR","",2,1,0,0,0,0
"Thin, sparse hair","3/96",0.464624722083851,0.659799898159876,0,0,1.19539875408623,0.916303327052162,"PPP1CB;MAP2K1","","CTC1",2,0,1,0,0,0
"Idiopathic pulmonary hypertension","3/96",0.464624722083851,0.659799898159876,0,0,1.19539875408623,0.916303327052162,"TGFB1;ENG","KCNK3","",2,1,0,1,0,0
"Adenoid Cystic Carcinoma","6/208",0.467478551708294,0.659799898159876,0,0,1.1008377760853,0.837079037456802,"GUCY1A1;TGFB1;KMT2C;PTEN;ENG","FGFR4","",5,1,0,2,0,0
"Ataxia","6/208",0.467478551708294,0.659799898159876,0,0,1.1008377760853,0.837079037456802,"ATXN2;CHEK2;TSHZ1","EIF2B2;POLG","EBF3",3,2,1,1,0,0
"Congenital anemia","6/208",0.467478551708294,0.659799898159876,0,0,1.1008377760853,0.837079037456802,"RAD51C;ITGB3;PTEN;RPL13","FCGR3B","CTC1",4,1,1,0,0,0
"Constipation","6/208",0.467478551708294,0.659799898159876,0,0,1.1008377760853,0.837079037456802,"HMBS;COMT;SDHB;MLH3","PCCB;POLG","",4,2,0,1,0,0
"Keloid","5/171",0.469027585375019,0.659799898159876,0,0,1.11625002890641,0.845105858744199,"DDR1;PHLPP2;TGFB1;IGFBP3;PTEN","","",5,0,0,1,0,0
"Ataxia Telangiectasia","11/396",0.469879066683068,0.659799898159876,0,0,1.05902912621359,0.799863436177267,"CHAF1A;MCM7;IRS1;FES;SCD;CHEK2;TBXAS1;PTEN;HLA-C;TWIST1;ENG","","",11,0,0,2,0,0
"Thyroid Gland Follicular Adenoma","4/134",0.470443897547652,0.659799898159876,0,0,1.14022988505747,0.859822917928777,"SPAG9;CDKN2B;CHEK2;PTEN","","",4,0,0,0,0,0
"Absent tendon reflex","4/134",0.470443897547652,0.659799898159876,0,0,1.14022988505747,0.859822917928777,"DAG1;POMGNT1","POMT2;POLG","",2,2,0,0,0,0
"Large auricle","4/134",0.470443897547652,0.659799898159876,0,0,1.14022988505747,0.859822917928777,"MAP2K1;PTEN","CEP120","TP53RK",2,1,1,0,0,0
"Large pinnae","4/134",0.470443897547652,0.659799898159876,0,0,1.14022988505747,0.859822917928777,"MAP2K1;PTEN","CEP120","TP53RK",2,1,1,0,0,0
"Macrotia","4/134",0.470443897547652,0.659799898159876,0,0,1.14022988505747,0.859822917928777,"MAP2K1;PTEN","CEP120","TP53RK",2,1,1,0,0,0
"Subfertility, Male","2/60",0.470713823370484,0.659799898159876,0,0,1.27770465912082,0.962756802303107,"ALDH2","POLG","",1,1,0,1,0,0
"Androgenetic Alopecia","2/60",0.470713823370484,0.659799898159876,0,0,1.27770465912082,0.962756802303107,"TGFB1;EMC2","","",2,0,0,1,0,0
"Autoimmune thyroiditis","2/60",0.470713823370484,0.659799898159876,0,0,1.27770465912082,0.962756802303107,"HLA-B;HLA-C","","",2,0,0,0,0,0
"Bullous pemphigoid","2/60",0.470713823370484,0.659799898159876,0,0,1.27770465912082,0.962756802303107,"ITGB3","","DCTN3",1,0,1,0,0,0
"Cavernous Hemangioma of Brain","2/60",0.470713823370484,0.659799898159876,0,0,1.27770465912082,0.962756802303107,"PTEN","CTTN","",1,1,0,0,0,0
"Cerebral calcification","2/60",0.470713823370484,0.659799898159876,0,0,1.27770465912082,0.962756802303107,"DAG1","","CTC1",1,0,1,0,0,0
"Dry Eye Syndromes","2/60",0.470713823370484,0.659799898159876,0,0,1.27770465912082,0.962756802303107,"TGFB1;ACAT1","","",2,0,0,1,0,0
"Gastrointestinal Stromal Sarcoma","2/60",0.470713823370484,0.659799898159876,0,0,1.27770465912082,0.962756802303107,"SDHB","KIF3A","",1,1,0,0,0,0
"Pancreatic carcinoma","50/1869",0.471345796502756,0.659799898159876,0,0,1.01952545724172,0.766849611121712,"DDR1;RPAIN;IL1RN;MCM7;IRS1;PTEN;COMT;ALDH2;CHEK2;CTSH;MAP2K1;ABCC1;IGFBP3;HLA-B;HLA-C;SIRT6;RUNX2;SPINT1;PPIA;ENG;SLC22A3;CDC123;USP10;GSTP1;TWIST1;ABO;TSPAN8;DDT;CEP70;CDKN2B;TGFB1;SYT1;IGF2R;SMARCA4;WEE1;BCAR1","ADM;FCGR3B;KDR;PRKCB;PAWR;AZGP1;CTTN;SPARCL1;UBQLN1;YY1AP1;FGFR4","SOX9;BAG1;HSF1",36,11,3,7,1,0
"Gilles de la Tourette syndrome","3/97",0.471415947491192,0.659799898159876,0,0,1.18262072332289,0.889347883440504,"SPINT1;HMBS;COMT","","",3,0,0,1,0,0
"CONSTRICTING BANDS, CONGENITAL","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","","TXNRD1",0,0,1,0,0,0
"Secondary hypothyroidism","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","LEPR","",0,1,0,0,1,0
"Senile lentigo","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"MAP2K1","","",1,0,0,0,0,0
"Severe combined immunodeficiency due to adenosine deaminase deficiency","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"NT5C2","","",1,0,0,1,0,0
"Leukemia, Mast-Cell","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","KDR","",0,1,0,0,0,0
"Lymphoma, Undifferentiated","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"CHEK2","","",1,0,0,0,0,0
"Spinal rigidity","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","POMT2","",0,1,0,0,0,0
"Steatorrhea","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"LIPA","","",1,0,0,1,0,0
"Synostotic Posterior Plagiocephaly","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"TWIST1","","",1,0,0,0,0,0
"Thickened calvaria","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"RUNX2","","",1,0,0,0,0,0
"Acute Lung Injury","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"TGFB1","","",1,0,0,1,0,0
"Adenoma of lung","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","PAWR","",0,1,0,0,1,0
"Adiponectin Measurement","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"CMIP","","",1,0,0,1,0,0
"Aplasia/Hypoplasia of the skin","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","","CTC1",0,0,1,0,0,0
"Body Weight","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"GIPR","","",1,0,0,1,0,0
"Carotid artery occlusion","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","PAWR","",0,1,0,0,1,0
"Cellular immunodeficiency","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","","CTC1",0,0,1,0,0,0
"Cognitive changes","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"COMT","","",1,0,0,0,0,0
"CONOTRUNCAL ANOMALY FACE SYNDROME","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"COMT","","",1,0,0,0,0,0
"Decreased fertility in females","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","","SOX9",0,0,1,0,0,0
"Dentinogenesis Imperfecta","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"SERPINH1","","",1,0,0,1,0,0
"Dupuytren's Disease","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"TGFB1","","",1,0,0,1,0,0
"Endemic Cretinism","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"RUNX2","","",1,0,0,0,0,0
"Erectile abnormalities","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"SPRY4","","",1,0,0,0,0,0
"Etat Marbre","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","","SLC12A2",0,0,1,0,0,0
"Fetal Alcohol Spectrum Disorders","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"PTEN","","",1,0,0,0,0,0
"Gardner Syndrome","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","KIF3A","",0,1,0,0,0,0
"Healing ulcer","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"TGFB1","","",1,0,0,1,0,0
"Heart Block","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"TGFB1","","",1,0,0,1,0,0
"Helminthiasis","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"TGFB1","","",1,0,0,1,0,0
"Hyperlipoproteinemia Type IIb","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"LPL","","",1,0,0,1,0,0
"Inattention","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"COMT","","",1,0,0,0,0,0
"Increased thickness of cranium","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"RUNX2","","",1,0,0,0,0,0
"Jeune thoracic dystrophy","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","CEP120","",0,1,0,0,0,0
"Long nose","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"TWIST1","","",1,0,0,0,0,0
"Ovarian Diseases","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"STAG3","","",1,0,0,0,0,0
"Penis carcinoma","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"SLC8A1","","",1,0,0,0,0,0
"Poor eye contact","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","","GPR143",0,0,1,0,0,0
"Precocious pubarche","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"IRS1","","",1,0,0,0,0,0
"Profound global developmental delay","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","","EXOSC3",0,0,1,0,0,0
"Pure gonadal dysgenesis","1/24",0.472718411024556,0.659799898159876,0,0,1.61084886128364,1.20693719710195,"","","SOX9",0,0,1,0,0,0
"Mycoses","4/135",0.476177986523054,0.664440663321478,0,0,1.1314673452078,0.83950755460743,"IL1RN;SCD;LYZ;IGF2R","","",4,0,0,1,0,0
"Lupus Nephritis","6/210",0.476662504148488,0.664928695354436,0,0,1.08993212669683,0.807581478427496,"DDR1;TGFB1;HLA-C","FCGR3B;PRKCB;ADM","",3,3,0,1,0,0
"Frontotemporal Lobar Degeneration","3/98",0.47816793302384,0.666463441112889,0,0,1.17011170373352,0.86330055639574,"ATXN2;HMBS","","BAG1",2,0,1,2,0,0
"Henoch-Schoenlein Purpura","3/98",0.47816793302384,0.666463441112889,0,0,1.17011170373352,0.86330055639574,"IL1RN;HLA-B;KIF13B","","",3,0,0,0,0,0
"Myelofibrosis","3/98",0.47816793302384,0.666463441112889,0,0,1.17011170373352,0.86330055639574,"TGFB1;TBXAS1;SH2B3","","",3,0,0,3,0,0
"cervical cancer","26/965",0.478320860197848,0.666488315226258,0,0,1.02643237486688,0.756966692468261,"RPAIN;SLC22A3;IL1RN;MCM7;GSTP1;SLC22A1;PTEN;COMT;TENT4A;SH3PXD2A;DDT;SPAG9;TGFB1;SYT1;IGFBP3;HLA-B;HLA-C;LNPEP;CFDP1;CANX;ENG","BECN1;ADM;NBPF1","BAG1;SOX9",21,3,2,5,0,0
"Sinusitis","2/61",0.479341684792141,0.666968943249978,0,0,1.25598395652736,0.923577260268019,"RUNX2","AZGP1","",1,1,0,0,0,0
"MYELOPROLIFERATIVE SYNDROME, TRANSIENT","2/61",0.479341684792141,0.666968943249978,0,0,1.25598395652736,0.923577260268019,"TGFB1;SH2B3","","",2,0,0,2,0,0
"Leukoplakia","2/61",0.479341684792141,0.666968943249978,0,0,1.25598395652736,0.923577260268019,"GSTP1","CTTN","",1,1,0,0,0,0
"Noonan Syndrome","2/61",0.479341684792141,0.666968943249978,0,0,1.25598395652736,0.923577260268019,"MAP2K1;PTEN","","",2,0,0,0,0,0
"Profound intellectual disabilities","2/61",0.479341684792141,0.666968943249978,0,0,1.25598395652736,0.923577260268019,"POMGNT1","POMT2","",1,1,0,0,0,0
"Amyotrophic Lateral Sclerosis, Sporadic","4/136",0.481888294469357,0.667743092900651,0,0,1.12283757111343,0.81971964829923,"ATXN2;SIX2","","TXNRD1;HSF1",2,0,2,1,0,0
"Vasculitis","4/136",0.481888294469357,0.667743092900651,0,0,1.12283757111343,0.81971964829923,"IL1RN;HLA-B;HLA-C","FCGR3B","",3,1,0,0,0,0
"Malformations of Cortical Development","3/99",0.484879454451945,0.667743092900651,0,0,1.15786328871893,0.838125092020294,"DAG1;POMGNT1","POMT2","",2,1,0,0,0,0
"Palmoplantar Keratosis","3/99",0.484879454451945,0.667743092900651,0,0,1.15786328871893,0.838125092020294,"MAP2K1;PTEN;SDHB","","",3,0,0,0,0,0
"Apraxia, Developmental Verbal","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"BCAR1","","",1,0,0,0,0,0
"Rhomboid shaped head","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TWIST1","","",1,0,0,0,0,0
"Human T-cell lymphotrophic virus, type I [HTLV-I]","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"SYT1","","",1,0,0,0,0,0
"Lymphoma, Follicular, Grade 1","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"","LPP","",0,1,0,0,0,0
"Lymphoma, Intermediate-Grade","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"CHEK2","","",1,0,0,0,0,0
"Specific language impairment","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"CMIP","","",1,0,0,1,0,0
"Plagiocephaly, Nonsynostotic","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TWIST1","","",1,0,0,0,0,0
"T-Cell Large Granular Lymphocyte Leukemia","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"IL15RA","","",1,0,0,0,0,0
"Tooth Attrition","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"CHEK2","","",1,0,0,0,0,0
"Type II Mucolipidosis","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"IGF2R","","",1,0,0,1,0,0
"Abnormality of nail of toe","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"UMPS","","",1,0,0,1,0,0
"Ulnar deviation of the fingers","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"","TNNI2","",0,1,0,0,0,0
"Abnormality of the clavicle","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"","CEP120","",0,1,0,0,0,0
"Acrocephaly","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TWIST1","","",1,0,0,0,0,0
"Adrenal hypertrophy or hyperplasia","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"GIPR","","",1,0,0,1,0,0
"Asymmetry of the posterior cranium","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TWIST1","","",1,0,0,0,0,0
"Bernard-Soulier Syndrome","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"ITGB3","","",1,0,0,0,0,0
"CNS metastases","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"PTEN","","",1,0,0,0,0,0
"Diabetes Insipidus","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"","LEPR","",0,1,0,0,1,0
"Diabetic foot ulcer","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"SERPINH1","","",1,0,0,1,0,0
"Down-sloping shoulders","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"RUNX2","","",1,0,0,0,0,0
"Dyspepsia","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"COMT","","",1,0,0,0,0,0
"Familial erythrocytosis","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"SH2B3","","",1,0,0,1,0,0
"Female hypogonadism syndrome","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"SPRY4","","",1,0,0,0,0,0
"Flat head","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TWIST1","","",1,0,0,0,0,0
"Flattening of cranial vault","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TWIST1","","",1,0,0,0,0,0
"Flattening of head","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TWIST1","","",1,0,0,0,0,0
"Hallervorden-Spatz Syndrome","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"","PLB1","",0,1,0,0,0,0
"Hepatic Veno-Occlusive Disease","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TGFB1","","",1,0,0,1,0,0
"Horizontal Nystagmus","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"","","GPR143",0,0,1,0,0,0
"Insulin-resistant diabetes mellitus","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"","LEPR","",0,1,0,0,1,0
"Invasive Pulmonary Aspergillosis","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"IL1RN","","",1,0,0,0,0,0
"Lymphomatoid Papulosis","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"IL1RN","","",1,0,0,0,0,0
"Malignant lymphoma - lymphoplasmacytic","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"LPL","","",1,0,0,1,0,0
"Non-infiltrating lobular carcinoma","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TWIST1","","",1,0,0,0,0,0
"Plagiocephaly","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"TWIST1","","",1,0,0,0,0,0
"Port-Wine Stain","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"","KDR","",0,1,0,0,0,0
"Prematurely aged appearance","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"ATRIP","","",1,0,0,0,0,0
"Progressive macrocephaly","1/25",0.486602547432355,0.667743092900651,0,0,1.54365079365079,1.11190341921992,"PTEN","","",1,0,0,0,0,0
"Reflex, Deep Tendon, Absent","4/137",0.48757396201175,0.667743092900651,0,0,1.11433756805808,0.800443476998935,"DAG1;POMGNT1","POMT2;POLG","",2,2,0,0,0,0
"Absent reflex","4/137",0.48757396201175,0.667743092900651,0,0,1.11433756805808,0.800443476998935,"DAG1;POMGNT1","POMT2;POLG","",2,2,0,0,0,0
"Arsenic Poisoning, Inorganic","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"IL1RN","AS3MT","",1,1,0,0,0,0
"Reticulosarcoma","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"CHEK2;HLA-C","","",2,0,0,0,0,0
"Sparse scalp hair","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"B4GALT7;ATRIP","","",2,0,0,0,0,0
"Nervous System, Organic Arsenic Poisoning","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"IL1RN","AS3MT","",1,1,0,0,0,0
"Arsenic Encephalopathy","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"IL1RN","AS3MT","",1,1,0,0,0,0
"Arsenic Induced Polyneuropathy","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"IL1RN","AS3MT","",1,1,0,0,0,0
"Arsenic Poisoning","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"IL1RN","AS3MT","",1,1,0,0,0,0
"Hemolytic-Uremic Syndrome","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"NT5C2;ABO","","",2,0,0,2,0,0
"Marijuana Abuse","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"EDNRA;COMT","","",2,0,0,1,0,0
"Multiple polyps","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"PTEN;ENG","","",2,0,0,0,0,0
"Narrow forehead","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"SERPINH1;AP4B1","","",2,0,0,1,0,0
"Nijmegen Breakage Syndrome","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"CHEK2;PTEN","","",2,0,0,0,0,0
"Phyllodes Tumor","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"SLC22A3;TWIST1","","",2,0,0,1,0,0
"Precursor cell lymphoblastic lymphoma","2/62",0.487882823248246,0.667743092900651,0,0,1.23498727735369,0.886325691757247,"CDKN2B;PTEN","","",2,0,0,0,0,0
"Leukemia, T-Cell","10/364",0.48931608708622,0.66951901655114,0,0,1.04673060920597,0.748147147679197,"IL15RA;CDKN2B;ABCC1;TGFB1;SYT1;PHF20;KMT2C;SERPINH1;PTEN","FCGR3B","",9,1,0,2,0,0
"Carcinoid Tumor","6/213",0.490350286358861,0.670748076765906,0,0,1.07396878483835,0.765348038343515,"MAP2K1;ABCC1;TGFB1;PTEN;PRKD2","SDCBP","",5,1,0,2,0,0
"Visual Impairment","7/251",0.491187216425482,0.671706686763672,0,0,1.06296787643324,0.755695675519153,"RFT1;SLC4A11;POC1B;POMGNT1","POMT2;TMEM216","GPR143",4,2,1,0,0,0
"Polymyositis","3/100",0.491549341673662,0.671821619336057,0,0,1.14586741834381,0.813786967249287,"TGFB1;DAG1;HLA-C","","",3,0,0,1,0,0
"Collecting Duct Carcinoma of the Kidney","4/138",0.493234156017307,0.671821619336057,0,0,1.10596443071996,0.781663870015125,"GSTP1;PTEN;IL6R;SDHB","","",4,0,0,1,0,0
"Anaplastic thyroid carcinoma","5/176",0.49422446956777,0.671821619336057,0,0,1.08333052721375,0.763493951601912,"SCD;PTEN;TWIST1;ATG7","KDR","",4,1,0,0,0,0
"Liver Failure","5/176",0.49422446956777,0.671821619336057,0,0,1.08333052721375,0.763493951601912,"IL1RN;COQ2;GSTP1;LIPA","POLG","",4,1,0,1,0,0
"Mucosa-Associated Lymphoid Tissue Lymphoma","5/176",0.49422446956777,0.671821619336057,0,0,1.08333052721375,0.763493951601912,"IL1RN;TGFB1;SYT1;GSTP1;PTPRJ","","",5,0,0,1,0,0
"Blast Phase","6/214",0.494887384800193,0.671821619336057,0,0,1.06875,0.751785519783767,"MAPK9;CDKN2B;ABCC1;LYZ;SH2B3","LEPR","",5,1,0,1,1,0
"Craniosynostosis","6/214",0.494887384800193,0.671821619336057,0,0,1.06875,0.751785519783767,"PPP1CB;IRS1;TWIST1;ATRIP;RUNX2","FGFR4","",5,1,0,0,0,0
"Bulbo-Spinal Atrophy, X-Linked","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"ATXN2","","HSF1",1,0,1,1,0,0
"Thin face","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"ATRIP","TNNI2","",1,1,0,0,0,0
"Abnormality of the dentition","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"XPC;SMARCA4","","",2,0,0,1,0,0
"Viral hepatitis","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"TGFB1;ALDH2","","",2,0,0,2,0,0
"Chronic ear infection","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"COMT;RUNX2","","",2,0,0,0,0,0
"Dystrophia myotonica 2","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"SLC22A1;LPL","","",2,0,0,1,0,0
"gliosarcoma","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"PTEN;AIF1","","",2,0,0,0,0,0
"Monocytic leukemia","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"CSF1R;LPL","","",2,0,0,1,0,0
"Narrow face","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"ATRIP","TNNI2","",1,1,0,0,0,0
"Necrotizing Enterocolitis","2/63",0.496335826708078,0.671821619336057,0,0,1.21467901389063,0.850885699762764,"ALDH2;ASL","","",2,0,0,1,0,0
"Hypertension, Portal","3/101",0.498176477547474,0.671821619336057,0,0,1.13411636164982,0.790253292596481,"EDNRA;PTEN;ENG","","",3,0,0,1,0,0
"Neuromuscular Diseases","3/101",0.498176477547474,0.671821619336057,0,0,1.13411636164982,0.790253292596481,"COQ2;DAG1","","TXNRD1",2,0,1,0,0,0
"Dengue Fever","5/177",0.499211713108705,0.671821619336057,0,0,1.07697629781726,0.748202356823987,"IL1RN;MAP2K1;HLA-B;SERPINH1;ABO","","",5,0,0,2,0,0
"Restenosis","6/215",0.499410933177223,0.671821619336057,0,0,1.06358115568642,0.738472058810003,"IL1RN;TGFB1;ITGB3;PTEN;HLA-C;LPL","","",6,0,0,2,0,0
